"African Online Championships, Feb. 2021.  Sections grouped into one.",,,,,,,,,** Uses all turns from 12 to 60 in all games **,,,,,,,,UW = unit weights,,,,,,,,,
Stockfish 7 with unit weights,,,,,,,,,Shortcut for Rapid over eliminating book by 2300+,,,,,,,,EWN = weighted by expectation loss,,,,,,,,,
"Ratings are FIDE Standard via lookup where possible. Sub 175 for G35 Rapid, add 150 for pandemic lag, add 25 for uncertainty = same rating",,,,,,,,,,,,,,,,,,,,,,,,,,
IPR12 = Intrinsic Performance Rating starting at turn 12.,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Move-Match, Equal-Optimal Value, and Average Scaled Difference (MMZ,EVZ,ASDZ) are combined into the official CombZ score by a rule that is now slightly rating-dependent.",,,,,,,,,,,,,,,,,,,,,,,,,,
"ELWZ is like ASDZ but in units of ""expectation loss"" rather than centipawn value.  It is not calibrated and not included in CombZ but is related to an alternative weighting scheme ""EWN"" directed against ""smart cheating.""",,,,,,,,,,,,,,,,,,,,,,,,,,
PredZ is a new provisional test for (un)predictability that is intended to be less dependent on a particular engine.,,,,,,,,,,,,,,,,,,,,,,,,,,
The T2 and T3 tests are not calibrated and are positively biased by 0.30--0.50 on average.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Not calibrated---ignore,,,,,,,
Name,Rating,Rating Used,IPR12,CombZ,PredZ,#turns,wtfactor,IPR diff,2sigma,ChallFaced,s,c,MMZ,EVZ,ASDZ,ELWZ,Engine,Weights,T2Z,T3Z,T3thr50Z,sOfIPR,cOfIPR,CombZ+,Pred+,
BelattarInes             ,1729,1729,2141,1.73,1.42,186,1,437,337,1578.2,0.01677,0.292997,1.69,1.52,1.55,1.79,    SF7,   UW,0.87,-0.08,0.44,0.035300322376702,0.35546109767801,1.73,1.42,0
BelattarMohamedWalid     ,1272,1272,1056,-0.47,-0.13,222,1,-191,341,1275,0.056754,0.287656,-0.26,-0.35,-0.69,-1.06,    SF7,   UW,-0.26,0.12,-0.20,0.0688320103543296,0.303395825194972,0.00,0.00,0
BellahceneBilel          ,2411,2411,2362,0.06,0.02,249,1,-24,248,2255.8,0.0185,0.324137,0.19,0.31,-0.33,-0.20,    SF7,   UW,0.19,1.10,0.26,0.0288833348266472,0.366066097879624,0.06,0.02,0
BenAbbesAyoub            ,1716,1716,1339,-0.80,-0.66,207,1,-352,401,1582.1,0.048696,0.299333,-0.65,-0.30,-1.26,-0.71,    SF7,   UW,0.09,-0.14,-0.53,0.0597612117934077,0.316975983824189,0.00,0.00,0
BenSaidSafa              ,1577,1577,1916,0.78,0.60,220,1,364,290,1391.6,0.068527,0.405368,0.36,0.53,1.26,1.04,    SF7,   UW,0.78,0.83,0.81,0.0419770363524327,0.344664151771389,0.78,0.60,0
BeukesDante              ,2129,2129,2328,0.98,0.41,188,1,224,336,2161.1,0.020287,0.327594,0.92,0.86,0.93,0.95,    SF7,   UW,-0.51,0.42,0.14,0.0298614665860148,0.364434559387068,0.98,0.41,0
BidiAbdeljalil           ,1750,1750,1407,-1.35,-1.56,281,1,-318,299,1611,0.039978,0.289996,-0.60,-1.40,-1.72,-1.72,    SF7,   UW,-1.21,-1.12,-1.55,0.0576158065454468,0.320239060809301,0.00,0.00,0
BongoAkangaNdjila        ,1803,1803,2203,1.88,1.85,236,1,425,342,1674.8,0.014576,0.289702,1.97,1.70,1.51,1.69,    SF7,   UW,1.67,1.83,1.72,0.0334859765935875,0.358436256105612,1.88,1.85,0
BorgesJose               ,1840,1840,2079,0.79,0.66,240,1,264,258,1753.5,0.051596,0.391529,0.43,0.53,1.20,1.23,    SF7,   UW,0.28,0.59,0.88,0.0371256682325463,0.352485939250408,0.79,0.66,0
BotlholeKgalalelo        ,1713,1713,1955,0.33,0.42,252,1,267,262,1598.3,0.076447,0.429751,-0.13,0.03,1.00,1.16,    SF7,   UW,0.66,0.92,1.06,0.040809360162424,0.346535622395204,0.33,0.42,0
